"TOA5","LFBB CR1000X","CR1000X","40106","CR1000X.Std.06.00","CPU:Fryxell_BB_2023_v2.CR1X","31757","LF15min"
"TIMESTAMP","RECORD","Year","Day_of_Year","MilitaryTime","DecTime","DecTime_2","stage_Avg","Temp_stg_Avg","ablation_Avg","UW_PAR_moored_Avg","UW_PAR_hanging_Avg","Air_Temp_Avg","Temp_DOdeep_Avg","OSat_DOdeep_Avg","Conc_mgL_DOdeep_Avg","Conc_ppm_DOdeep_Avg","Temp_DOshallow_Avg","OSat_Dshallow_Avg","Conc_mgL_DOshallow_Avg","Conc_ppm_DOshallow_Avg","PTemp_C","BattV_Min"
"TS","RN","","","","","","m","deg C","m","Âµmol/s/mÂ²","Âµmol/s/mÂ²","deg C","deg C","%","mg/L","ppm","deg C","%","mg/L","ppm","deg C","Volts"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Min"
"2023-12-01 12:00:00",0,2023,335,1200,0.9166666,"2023.9166666",7.275,2.943,8.37,-4.394,-3.567,-0.695,2.822,119.6,16.3,16.3,2.339,210.1,29,29,-0.062,13.72
"2023-12-01 12:15:00",1,2023,335,1215,0.9166951,"2023.916695",7.275,2.948,8.37,-4.442,-3.566,-0.806,2.821,121.5,16.56,16.56,2.339,214.7,29.63,29.63,2.558,13.54
"2023-12-01 12:30:00",2,2023,335,1230,0.9167236,"2023.9167236",7.275,2.95,8.37,-4.596,-3.605,-0.901,2.822,121.1,16.51,16.51,2.34,214.8,29.65,29.65,5.25,13.34
"2023-12-02 15:30:00",3,2023,336,1530,0.9197974,"2023.9197974",7.273,2.952,8.37,-4.943,-3.662,1.062,2.831,121.8,16.6,16.6,2.341,216.4,29.87,29.87,16.92,13.3
"2023-12-02 15:45:00",4,2023,336,1545,0.9198258,"2023.9198258",7.274,2.951,8.37,-4.735,-3.728,1.426,2.831,122.8,16.72,16.72,2.341,216.4,29.88,29.88,9.62,13.33
"2023-12-02 16:00:00",5,2023,336,1600,0.9198542,"2023.9198542",7.275,2.953,8.37,-4.637,-3.65,1.116,2.831,123.5,16.83,16.83,2.341,216.8,29.92,29.92,6.002,13.37
"2023-12-02 16:15:00",6,2023,336,1615,0.9198827,"2023.9198827",7.275,2.95,8.37,-4.558,-3.56,0.896,2.831,123.4,16.82,16.82,2.34,216.7,29.92,29.92,4.208,13.39
"2023-12-02 16:30:00",7,2023,336,1630,0.9199112,"2023.9199112",7.275,2.949,8.37,-4.525,-3.523,0.571,2.83,123.5,16.83,16.83,2.34,216.6,29.9,29.9,3.173,13.42
